,ID0,Tweet
23,,: 『日本の歴史を見ると本当にすごいと思う』が、韓国ネット掲示板で話題に… 韓国ネットの反応「正直、朝鮮時代に奴隷として暮らしていた底辺は、日本の植民地時代が来るや否や、よっしゃー！と叫んだであろうｗ　ぶっちゃけ、日帝時代の方が朝鮮時代よりもはるか…
24,,此奴、石破は総理になる器ではない。仲間内を背後から打つ卑怯者でしかない。【石破氏】石破政権、いつでも担う準備はできている  ネット「肝心の自民党支持者と自民党員と自民党議員の支持が殆ど無い」「どこぞの「ノーベル賞受賞者の像を置… https://t.co/WQ17EPCYLm
25,,政府、外務省よ、気を緩めず、韓国のこうありたいと思う願望のロビー活動が活発化するぞ、慰安婦問題と同じような「二の足を踏んではならない」「日本海」単独表記、国際水路機関（ＩＨＯ）が現状維持案 https://t.co/7gLZUmdBHr @seijichishinさんから
26,,昔の賢人は言った。韓国は放っておいても自滅するからいい、中国は漢字発祥の地で手ごわい気を付けろ、一番手ごわいのは、敵陣に入りて仲間を背後から打つ国賊（反日勢力） https://t.co/EN1qrU6boU @zakdeskさんから
27,,: 地球上の様々な民族はそれぞれ様々な食文化で、有史以来、永遠と生を繋げて来た。それを自分の固有の食文化を他の民族に押し付けるのは傲慢以外何物でもない。　こんな輩を相手にするな!!オーストラリアの魚市場でヴィーガングループが抗議活動 http…
28,,_cat: @shoetsusato @sharenewsjapan1 私もこのニュース見ました。自分の主張を人に押し付ける、狂っているとしか言いようがありません。肉屋に押しかけて抗議するベジタリアンと通じるものがあります。
29,,: 北の大地　北緯４３度チョット酷い写真ですが、二日前、私道の数メール先の畑に、越冬できず、力尽きて倒れていたエゾ鹿、今日見ると、命途絶えた自らの体を、今、生きている動物に与え、命が輪廻。自然の厳しさと自然生態系のバランスを知る。 h…
30,,: @shoetsusato この写真を見て、自然とはどういうことか考えさせられます。
31,,83: @shoetsusato 野生の動物を舐めてやしないか？まさかキツネリスみたいに心を開いてくれるとでも思ってるのかな？
32,,CdWO0Tv4ppYkK5U: @shoetsusato そろそろ返還出来るという希望的観測から抜け出してロシアがどんな国か良く調べて外交した方が良い。食べられないニンジンぶら下げられて踊るのも疲れてきたと思うけど。
33,,_kitakaze: @shoetsusato すぐには無理ですが、長い歴史の間には、けっこう奇跡が起こります100年先か500年先かは分かりませんがそのときのチャンスを逃さないように早く和平条約を結んでおくべきですね
34,,『日本の歴史を見ると本当にすごいと思う』が、韓国ネット掲示板で話題に… 韓国ネットの反応「正直、朝鮮時代に奴隷として暮らしていた底辺は、日本の植民地時代が来るや否や、よっしゃー！と叫んだであろうｗ　ぶっちゃけ、日帝時代の方が朝鮮時… https://t.co/IZfgJsv3Te
35,,＜台湾がアツイ！台湾の皆さん、ありがとう！絶対また遊びに来る！＞　台湾の蔡英文・総統『200万人もの日本人が台湾に来てくれました！このビデオを見てください』〜ネットの反応「あ、私が泊まったホテルが舞台になってる！😄」「そうだ、台湾… https://t.co/qe9JUTmKaU
36,,: 「日本は地震、ツナミ、台風がある事を除けばパラダイスだ」という豪州の人の意見を見かけた。この三つは確かに日本につきものの大きな障害だけれども、日本国民は受け入れていると思う。個人的には、日本の最大の障害は反日外国人に日本を実効支配され、国民が彼ら…
37,,_kagurazaka: 在日特定外国人に言いたいです……私は欧州の血脈を受継いで少し周りと違いがある容姿でした……小さい頃のそんな私を虐めていたのは、近所に住んでいた在日特定外国人でした……自殺したくなるくらいの罵詈雑言と……そういう事しながら、日本人…
38,,: @shoetsusato オレのじいちゃんは昔山を生活の糧にしていたうさぎやキジ、イノシシやら獲った獲物を大事なタンパク源として子どもに食べさせていた。山に狩に行く時は必ずムラタ銃にクマ用の単発のデカイ弾を御守りに必ず持っていって…
39,,数年前、私の自宅から約１．５Kmの所で捕獲されたヒグマで、体重約150Kg雄です。ヒグマは空腹時、子熊子育て時、猛獣となります。クマを愛する方、このヒグマさんと会話してください。私には出来ません。 https://t.co/u4oDe9CLiP
40,,200kei: @shoetsusato クマを擁護する皆さんは熊を熊のプーさんのように可愛いくて優しいと思っているのかな。現実は違うから。ちなみにこっちのプーさんも危険なプーさんだよ。 https://t.co/L73XTi1ko5
41,,ご参考までに数年前、私の自宅から約１．５Kmの所で捕獲されたヒグマで、体重約150Kg雄です。ヒグマは空腹時、子熊子育て時、猛獣となります。クマを愛する方、このヒグマさんと会話してください。私には出来ません。… https://t.co/NLlAxxbIWF
42,,_camp: @shoetsusato 主にフェミニズムのせいですねぇ彼女達の考え方は「御先祖さまや先人の努力や伝統文化や知恵の中に私達も生きている」ということや「自分達も、それを受け継いだり　その価値観のバトンを次の世代に　渡していく当事…
43,,世界史を鑑みても、実効支配された北方領土の返還は出来ない。今迄政府は外交交渉でロシアに給餌しただけ。領土奪還できるとすれば・ロシア崩壊し、北方領土への主権が消滅した時・憲法改正し、自衛隊実力で奪還他に方法は、無いのであ… https://t.co/d98DJtoLdQ
44,,「お墓に眠ってなんかいない」という歌詞でお彼岸のお参りが激減したのではないと思う。「千の風になって」はすばしい歌だ戦後教育、物質文明などにより、ご先祖様を敬う心が薄れてきた為ではなかろうか、ご先祖様あってのわが身、世界中、どの… https://t.co/T8grGkJZL6
45,,政党を解党して、芸能界デビューでもした方が良いのでは、【共闘合意】国民民主と共産が党首会談、マスコミの前でピアノ演奏を披露 https://t.co/OiJkd8UgaC @sharenewsjapan1さんから
46,,甘い言葉で民衆を誘導し、背くものは排除する。共産党結党以来の世界史と現実の世界を鑑みると、共産党の痕跡には血の匂いしかしない。中国「すがすがしいネット空間をつくり出す」→ ネットで習近平思想や共産党の方針に沿わないと処罰の対象… https://t.co/EHX4I0wJtv
47,,クマを殺すなと咆哮する輩、そんなにクマが好きなら、私の居住してる地に春、ヒグマが冬眠から覚めて地先山にいるのでヒグマと会話してくれ、「人間の居住地に来ないでくれ」とクマの生態と生態系のバランスぐらい学習すれ、クマは食事の場所を… https://t.co/njjSewCkTj
48,,Aahi69Mai: 彼女は法的措置を取るのか？なるほど！では司法が「犯罪者ではない」としたY氏に対して 誹謗中傷をし続ける方々にも法的措置を講じないとフェアじゃないですね。何事もバランス！フェアにいきたいですよね。そう思いませんか？ハフポストさん、是非 取材…
49,,EMyldejdMge0cLk: @shoetsusato まず「万引きする日本人」っていう設定で映画を創る発想は政治か宗教かひねくれもの。
50,,19810404: @shoetsusato 韓国にあーあー繋がりましたねw🤣🤔
51,,弱者を盾に取り、いかにも博愛主義で、主義主張するのは共産党と同じ、左巻きの常套手段、信用してはならない一旦権力を掌握すると、自分と異とする人に対して徹底的に排除する。歴史の痕跡をみよ、血の匂いしかしない。 https://t.co/3r8P9tMhK2
52,,_husband: @shoetsusato 日頃から複数の男と寝るって公言してるのにねぇ…
53,,0M3IviNSr6bcje: @shoetsusato 私には真実はわからないけど、男の性を理解してあげないと。「どんな服でも」は私も女性ですが引っ掛かります。大和撫子になれとは思いませんがセクシーすぎる格好をしていれば、軽い女性とみられて隙ができますよ。若い女性の…
54,,Pideyuki1: @shoetsusato そもそもいい年した大人が1人で泥酔するなってね。
55,,_nam_soldier: @shoetsusato 生娘でもあるまいに😏
56,,: 日本国民が永遠と護持してきた皇統と皇族を侮辱する毎日新聞の売国奴よ、貴様らは日本国民に値しない、摘まみ上げ、肥溜めにぶち込んで遣りたい心境だ。【動画あり】毎日新聞記者　天皇が嫌いすぎて、しつこく失礼な質問をしてしまう～ https://t.…
57,,: 今頃気が付いたのか、遅すぎる。一部でなく、多くのオールドメディアは特亜の在日かなりすまし帰化人が蔓延、支配され、韓国に忖度する偏向印象操作報道に専念しているよ、＜輸出管理＞元経済産業省・細川昌彦氏「相変わらず歪んだ報道をしている一部のマスコ…
58,,: @shoetsusato まんまとトラップに嵌まったなら腹立たしいけどとりあえず女の勝ち。今後悲劇のヒロインをやろうとしてるなら色々暴かれる前におとなしくした方がいいね
59,,: @shoetsusato @iroirokininaru タクシーならちがいますが、ホテルの個室に一緒に入っちゃ、もう同意したも同然と、女の立場でもそう思いますね。
60,,_0: @shoetsusato 良く解釈すると、営業だもんなぁ〜合意も何も無いって、ただ成果が無かったから、訴えてみたら😋😋😋悪く解釈すると、工作員、アベガ〜に近いから、そのお金どこへ上納するんだろう、ご褒美はいつの間にか議員さんですか❓
61,,: 日本を見下すしか能ない韓国とは永遠に距離を置くべき、さようなら、その方がスッキリする。韓国国会議長「1プラス1プラスアルファ法案は日本の謝罪が前提」 #ldnews https://t.co/FOsjpF22JZ
62,,: ブレない菅官房長官　Good Job !!菅官房長官「日本の方針は６５年請求権協定が全て」　ネット「そりゃそうだ」「いつまで同じ質問してんだよマスゴミ」 https://t.co/WBd8ekZGcW @seijichishinさんから
63,,": 蓮舫氏よ、報ステのデマぐらい気が付けよ、その前に、未だに多重国籍疑惑(中国,台湾,日本)の説明責任を果たしていない。2004年国会議員に当選したときの国籍は何処だ。   彼女のアイデンティティは中国では?疑惑も晴らさず日本の国会で政治活動す…"
64,,今頃気が付いたのか、遅すぎる。一部でなく、多くのオールドメディアは特亜の在日かなりすまし帰化人が蔓延、支配され、韓国に忖度する偏向印象操作報道に専念しているよ、＜輸出管理＞元経済産業省・細川昌彦氏「相変わらず歪んだ報道をしてい… https://t.co/ginb48e5dr
65,,MagnoliaAliceF: 「日本海を単独表記している国際水路機関（ＩＨＯ）の指針について、ＩＨＯ事務局が現行のまま引き続き利用する案をまとめたことがわかった」日本海は日本海です🇯🇵韓国もきちんと日本海の単独表記しましょうね♪「日本海」単独表記、国際水路機…
66,,ポール・マデン駐日英国大使「私の運転手の柳谷さんが定年退職。最後の日に、彼がジャガーの後ろに座って、私が運転しました」〜ネットの反応「粋だね」「全英が泣いた！」「映画化決定！」 https://t.co/ekRiDNpFUn
67,,【朗報】国際水路機関（ＩＨＯ）「東海表記とか知らんわ　日本海単独表記のままでいくぞ」～ネットの反応「IHOさんありがとー！」「うちもガスやめてIHに変えるわw」 https://t.co/qWFzJrpgVo
68,,G2AZlCr4F3hx6Y: 【動画あり】毎日新聞記者　天皇が嫌いすぎて、しつこく失礼な質問をしてしまう～ネットの反応「見たけどクッソ不快だわ！ずーっと天皇、皇后と呼び捨てだし」「昔、毎日新聞を購読していたのは、我が家の黒歴史だわ……」 https://t.co/l…
69,,日本国民が永遠と護持してきた皇統と皇族を侮辱する毎日新聞の売国奴よ、貴様らは日本国民に値しない、摘まみ上げ、肥溜めにぶち込んで遣りたい心境だ。【動画あり】毎日新聞記者　天皇が嫌いすぎて、しつこく失礼な質問をしてしまう～ https://t.co/cZ9Q13B2HJ
70,,MagnoliaAliceF: 「日本国内において、外国人から日本人が、日本国籍であることや民族という属性を理由に、差別的言動が繰り返されてきたという立法事実はない」えっ？？？ヘイトスピーチ禁止条例成立 在日コリアン「涙が止まらなくなりました」 #ldnews…
71,,: 昔は海外旅行に行って自分の生まれた日本という国の素晴らしさを初めてあるいは改めて知ったという声が多かったし、今でもそういう声を聞くことがある。最近は外国人が日本に来ることも増えて、あれこれやらかしてくれるので、わざわざ海外旅行に出かけなくても日本…
72,,: #伊藤詩織 弁護団の物的証拠もないイメージ論証にまんまと乗った東京地裁の #鈴木昭洋 裁判長、#石田佳世子 裁判官、#窓岩亮佑 裁判官。こんな事を言われて裁判所が馬鹿にされてるのに、こいつらアフォやで。恥じて生きろ。 https://t.co/…
73,,G2AZlCr4F3hx6Y: ニューヨークで『日本の朝鮮学校差別』を糾弾･･･日本公館に抗議書簡～ネットの反応「米国に朝鮮学校ってあるの？だったらまずはそこで米国政府を批判する教育をして、米国政府に教育資金を拠出させてみてからにしたら？ww」 https://t.c…
74,,_jp: 古くなったビルを爆破🧨どうやって下に壊れるように計算するのかな🧐 https://t.co/EkUKBfXKlG
75,,: 古市 憲寿よ、日韓の近代史のFACTと国際法の基本理念ぐらい学習してから発言してくれや、「非」は韓国側に100%ある。日本に「非」があるのは韓国を甘やかした事だ。貴方みたいなアホがいるとは日本国民として、情けない。 https://t.c…
76,,: 辻元氏よ　初鹿明博議員に「離党で済む話じゃない」と言えよ、ダブスタは万死に値するぞ強制わいせつ容疑の初鹿明博議員、立憲民主党に離党届提出⇒2019年2月20日、女性問題を理由に離党届を提出した自民党の田畑毅衆院議員について辻元清美議員「離党…
77,,: 「除夜の鐘」は室町時代から殆どの国民が護持してきた日本の伝統文化。除夜の鐘には、新年を迎えるに当たり、百八つの煩悩を祓う力があるといわれています。日本の伝統文化を穢す輩に配慮する必要は全くない。https://t.co/xjGeEKDU…
78,,: ３割近くも韓国に親しみをと考えている人がいることに驚きを隠せない。日韓関係の史実を鑑みると「非」は韓国側に100% 日本側の「非」は韓国を甘やかした事。メディアを支配している在日韓国人となりすまし帰化人による偏向印象操作報道の尽力で三割近く…
79,,: 韓国人観光客減は影響限定的　現場はすでに東南アジアや欧米などにシフト　ネット「何時までも来ない人相手にしててもしゃーない」 https://t.co/m8TarSshYJ @seijichishinさんから
80,,ニューヨークで『日本の朝鮮学校差別』を糾弾･･･日本公館に抗議書簡～ネットの反応「米国に朝鮮学校ってあるの？だったらまずはそこで米国政府を批判する教育をして、米国政府に教育資金を拠出させてみてからにしたら？ww」 https://t.co/k1Z66anFAz
81,,_2019: .レイプは許し難き犯罪そんなことはみな分かっている伊藤詩織氏の言動･行動を批判したからと言っても決してレイプを肯定した訳では無い加えて言っておく当人同士の問題なのに弱者、被害者を装い何の関係も無い日本や日本人を貶める…
82,,かんぽ問題　監督すべきはずの官庁がなれ合いに　高市大臣「総務省ＯＢが郵政グループなどの取締役に就任することは問題」 https://t.co/E6EBtWzo4b @seijichishinさんから
83,,韓国人観光客減は影響限定的　現場はすでに東南アジアや欧米などにシフト　ネット「何時までも来ない人相手にしててもしゃーない」 https://t.co/m8TarSshYJ @seijichishinさんから
84,,8190: @shoetsusato グレタさん、これが、自然摂理です。あなたのしていることに意味はありません。
85,,ENgtYn93YMnamWe: @shoetsusato 自然の摂理ですね。自然界はすごい‼️
86,,北の大地　北緯４３度チョット酷い写真ですが、二日前、私道の数メール先の畑に、越冬できず、力尽きて倒れていたエゾ鹿、今日見ると、命途絶えた自らの体を、今、生きている動物に与え、命が輪廻。自然の厳しさと自然生態系のバラン… https://t.co/J6UV4GOfHj
87,,: @shoetsusato @sharenewsjapan1 ベジタリアンやらヴィーガンやら…何か知らんけど、やりたかったら勝手にやれ！何で人にアピールしたり、押し付けたりするのかな？まぁ、こんなの取り上げるメディアも変やけど
88,,地球上の様々な民族はそれぞれ様々な食文化で、有史以来、永遠と生を繋げて来た。それを自分の固有の食文化を他の民族に押し付けるのは傲慢以外何物でもない。　こんな輩を相手にするな!!オーストラリアの魚市場でヴィーガングループが抗議… https://t.co/ZoGTuwjuAM
89,,BlueEyedRonin: 私は、１８年前米空軍に入隊しました。兵役に服する間、半分以上は日本にいました。０１年から０７年まで、１０年から１３年まで、１９年からもいます。また、東アジア地域の中では、韓国にも（７ヶか月）、そしてハワイにも（２年間）兵役しました。#靖国…
90,,_kaori: 私が「犯罪者」である証拠を挙げられよ。本日中にその提示、もしくは謝罪とツイートの削除がされない場合は、法的な対処をする。 https://t.co/B269AcX3ha
91,,「弾劾」可決で“逆風”トランプ政権、朝鮮半島で「軍事作戦」決断も　図に乗る正恩氏にキレた！？　韓国・文政権は「レッドチーム入り」示唆 https://t.co/qTMsuRZls4 @zakdeskさんから
92,,5RA6NtQIUR: デュープス、相当造られてるのね。┐(´д｀)┌ https://t.co/cSdAVVK3F3
93,,02783978: 😱😱😱、今にもとって喰われちゃいそうな😱😱😱 https://t.co/JHhnzCtVTi
94,,P7SSqLahMErV9G: 可哀想なくらいの劣等感から来るんだろうな。簡単に潰せる国にムキになる必要はないよね。 https://t.co/fg5YaFL2ry
95,,39977754: 本それ‼️多重国籍って議員として許されるの？ https://t.co/KmI7grRQ9I
96,,: 正にその通りです。韓国に親しみを感じるのはおそらく0.3％位なものでしょう。 https://t.co/kGTPL956Ur
97,,39977754: 年明け解散総選挙で民主とつく政党、共産党系は全て落選させなければ、日本がおかしくなる‼️ https://t.co/yKBH7RGNo7
98,,: 立憲民主党は処分しないよ。外に厳しく、内には優しい韓国の文化風土と同じだから、日本の武士道の価値観では考えられない。 https://t.co/zwo8MbhSJ5
99,,GhqIXiyGsgODsM8: @shoetsusato あのぉ〜ヤらせて下さいと・・・😔土下座🙇🏻‍♂️までして御願いしても🤲、「良いよぉ〜🥰」ナンて答えは頂いた事が有りません🤗逆に❗️雰囲気あるのに、ナニもしないで逆ギレされた事は有ります😱⁉️因み…
100,,2: 山口氏は韓国軍のベトナム人慰安婦をスクープした人物。時系列で2016年7月山口氏の準強姦嫌疑不十分で不起訴。山口氏がTVに出演し始めたのはその後。山口氏がTVで活躍中の2017年5月詩織が急にTVで会見し山口氏を糾弾。反日左翼の青木理やイソコと…
101,,: 終戦後、日本で朝鮮総連が声高らかに勧誘していたな、「地上の楽園、北朝鮮に」韓国の内政問題であるから、どうでも良いが、韓国政府統一部ブログ「平壌は韓国の都市が進むべき姿」が物議〜ネットの反応「地上の楽園へGO」「文ちゃんに任せとけば安心だわ…
102,,: 韓国向けレジストの輸出管理を見直し　最大3年分を一括申請可能に→ 韓国大統領府がコメント「根本的な解決策としては不十分だ」〜ネットの反応「見直したとたんにこの態度」「優遇してもらう立場の奴らがなんでこんなに偉そうなんだ？」 https://t.…
103,,6387: @shoetsusato 銭ゲバ錬金術者の術（罠）って感じかなぁ😱
104,,"蓮舫氏よ、報ステのデマぐらい気が付けよ、その前に、未だに多重国籍疑惑(中国,台湾,日本)の説明責任を果たしていない。2004年国会議員に当選したときの国籍は何処だ。   彼女のアイデンティティは中国では?疑惑も晴らさず日本の国… https://t.co/NzR28jRkFd"
105,,ブレない菅官房長官　Good Job !!菅官房長官「日本の方針は６５年請求権協定が全て」　ネット「そりゃそうだ」「いつまで同じ質問してんだよマスゴミ」 https://t.co/WBd8ekZGcW @seijichishinさんから
106,,韓国向けレジストの輸出管理を見直し　最大3年分を一括申請可能に→ 韓国大統領府がコメント「根本的な解決策としては不十分だ」〜ネットの反応「見直したとたんにこの態度」「優遇してもらう立場の奴らがなんでこんなに偉そうなんだ？」 https://t.co/tB5fhEV1bs
107,,終戦後、日本で朝鮮総連が声高らかに勧誘していたな、「地上の楽園、北朝鮮に」韓国の内政問題であるから、どうでも良いが、韓国政府統一部ブログ「平壌は韓国の都市が進むべき姿」が物議〜ネットの反応「地上の楽園へGO」「文ちゃんに任せ… https://t.co/6TeTBt7Yhi
108,,日本を見下すしか能ない韓国とは永遠に距離を置くべき、さようなら、その方がスッキリする。韓国国会議長「1プラス1プラスアルファ法案は日本の謝罪が前提」 #ldnews https://t.co/FOsjpF22JZ
109,,３割近くも韓国に親しみをと考えている人がいることに驚きを隠せない。日韓関係の史実を鑑みると「非」は韓国側に100% 日本側の「非」は韓国を甘やかした事。メディアを支配している在日韓国人となりすまし帰化人による偏向印象操作報道の… https://t.co/0xzceDXZ9W
110,,_kinokuni: @shoetsusato それほど鐘の音が気になるなら無人島で生活すれば？
111,,伊藤氏よ、男と女が密室で酔っていて、挑発的な服装した発情期の雌がいれば、殆どの男は雄ライオンになる。ならないとすれば、不能者か、お迎えの近い男性だ。そんなことも分からないで、ホテルの個室に入った「初心な乙女」でもなかろう。https://t.co/qkYQ6qDN3d
112,,: #伊藤詩織 氏の担当弁護士。「刑事と違い民事では誰が書いたかわからないような怪しげな文書でも証拠として出せる」つまり、証拠がなくともイメージで戦えると言っており、この発言が伊藤詩織裁判の全てを物語っている。 https://t.co/uFFn…
113,,「除夜の鐘」は室町時代から殆どの国民が護持してきた日本の伝統文化。除夜の鐘には、新年を迎えるに当たり、百八つの煩悩を祓う力があるといわれています。日本の伝統文化を穢す輩に配慮する必要は全くない。https://t.co/xjGeEKDUA4
114,,立憲民主党は処分しないよ。外に厳しく、内には優しい韓国の文化風土と同じだから、日本の武士道の価値観では考えられない。 https://t.co/zwo8MbhSJ5
115,,MiZuKi: 戦後から反日教育の為に嘘でしかない韓国の捏造された史実なんかアホらしくて全く興味も感心もないですね☝(_ _)NHKの韓国語講座に出演するソン・シギョンさん「日本人は歴史教育を受けておらず、関心もない。私がそれを伝えられる架け橋になる…
116,,: たしか杉田水脈さんの主張は、女性が男性の前で泥酔するものではない、というようなものであったと思います。これは日本人であれば、一般的な感想であり、特に個人攻撃があるとは考えません。 https://t.co/Ofnb8vO3i2
117,,: これうるさいとか騒いでいたのは「日本の伝統文化を破壊したい」奴らであることが解ったね😡😡基本は無視すればいい。無視すれば先鋭化し何がし嫌がらせしてくる。そこをパクれば済む話【ほれみろ】全国調査「除夜の鐘が迷惑と思ったこ…
118,,KadotaRyusho: 名誉毀損等で訴訟となった映画『主戦場』が長岡市公共施設で12月22日、長岡市と教育委員会後援で上映される。慰安婦問題を一方的な内容で表現し、出演者（取材された側）から上映反対の声が猛然と湧き起こったいわくつき作品。自治体がなぜこれを後援するの…
119,,Niko_Nesan: 【ほれみろ】全国調査「除夜の鐘が迷惑と思ったことは１度もない ９６.３%」当然でしょうね。少数派のイチャモンに屈する風潮、いい加減にやめたらどうですか？狂ったクレーマーは一定数いるのは事実。仕方がない。それよりも、そんな極少数意見に屈する人間…
120,,: 此奴ら、立憲民主党は日本人の為の政治ではなく、在日朝鮮半島人の為の政治しか、考えていないか、次回の選挙で落選させろ、【動画】立憲民主党 「とにかく外国人に参政権をあげたい、我々は民主党時代から一貫している」 https://t.co/Pu…
121,,: ほんこんさん の仰せのとおり、ほんこんさん「愛国心とか愛国という言葉を使ったら、右翼団体みたいに言われる。戦後教育が間違っていた部分があったんちゃいます。」 https://t.co/1aXjkuljDm @sharenewsjapan1さ…
122,,: 隣国であるChinaには、43万人以上の梅毒患者が。訪日観光客数増加が要因日本国民の健康を優先し、政府は感染源を特定し、梅毒感染にたいする啓蒙をすべき、『梅毒患者が都市で増えている！感染源を語るとヘイトスピーチと批判されるから日本は変…
123,,: 初鹿議員が強制わいせつを国会で否定せず！なのに「やましき沈黙」の野党＆南彰氏。自称・女性の味方は、性犯罪者の共犯者だった！立民さん、被害者を見捨てるのですか？ https://t.co/UxWUSpeSb3 @seijichishinさんから
124,,: 【中国の海洋進出】河野防衛大臣「尖閣諸島周辺の海空域における中国公船、飛行機の活動については強い懸念を持っている」 https://t.co/JRnH3SA2Na @sharenewsjapan1さんから
125,,: その考えを独善、傲慢、奢り、自惚れ等と言い、日本では恥とされる。男女の能力を発揮するのは、適材適所でその人の「体力、性、知識、知能、教育、人格、智慧、国家思想、宗教観」等により発揮される。 https://t.co/Bv0cpoigF…
126,,: NHKだけでなく、ロイターもか、ロイターの関連会社が中国政府の圧力を受けて中国の不都合なニュースの多くを流さなかったとロイター自身が発信　ネット「ロイターは自ら表に出せるだけ救いはあるかも&amp;#8230;日本のメディアは&amp;#8230;」 ht…
